;date;war articles;total articles;standardized
329;25.11.2000;0.0;21;0.0
330;26.11.2000;1.0;10;0.1
331;27.11.2000;0.0;26;0.0
332;28.11.2000;0.0;22;0.0
333;29.11.2000;0.0;18;0.0
334;30.11.2000;0.0;20;0.0
335;01.12.2000;0.0;17;0.0
336;02.12.2000;0.0;26;0.0
337;03.12.2000;0.0;8;0.0
338;04.12.2000;0.0;21;0.0
339;05.12.2000;0.0;18;0.0
340;06.12.2000;0.0;18;0.0
341;07.12.2000;0.0;24;0.0
342;08.12.2000;0.0;30;0.0
343;09.12.2000;0.0;29;0.0
344;10.12.2000;0.0;14;0.0
345;11.12.2000;0.0;21;0.0
346;12.12.2000;1.0;14;0.07142857142857142
347;13.12.2000;0.0;24;0.0
348;14.12.2000;0.0;23;0.0
349;15.12.2000;0.0;30;0.0
350;16.12.2000;0.0;8;0.0
351;17.12.2000;0.0;10;0.0
352;18.12.2000;0.0;19;0.0
353;19.12.2000;0.0;23;0.0
354;20.12.2000;0.0;20;0.0
355;21.12.2000;0.0;38;0.0
356;22.12.2000;0.0;15;0.0
357;23.12.2000;0.0;8;0.0
358;24.12.2000;0.0;8;0.0
359;25.12.2000;0.0;2;0.0
360;26.12.2000;0.0;5;0.0
361;27.12.2000;0.0;23;0.0
362;28.12.2000;0.0;33;0.0
363;29.12.2000;0.0;12;0.0
364;30.12.2000;0.0;9;0.0
365;31.12.2000;0.0;3;0.0
366;01.01.2001;0.0;6;0.0
367;02.01.2001;1.0;27;0.037037037037037035
368;03.01.2001;0.0;31;0.0
369;04.01.2001;0.0;27;0.0
370;05.01.2001;2.0;29;0.06896551724137931
371;06.01.2001;1.0;29;0.034482758620689655
372;07.01.2001;0.0;16;0.0
373;08.01.2001;0.0;22;0.0
374;09.01.2001;1.0;34;0.029411764705882353
375;10.01.2001;1.0;41;0.024390243902439025
376;11.01.2001;1.0;27;0.037037037037037035
377;12.01.2001;2.0;25;0.08
378;13.01.2001;0.0;20;0.0
379;14.01.2001;0.0;13;0.0
380;15.01.2001;0.0;33;0.0
381;16.01.2001;1.0;29;0.034482758620689655
382;17.01.2001;3.0;30;0.1
383;18.01.2001;0.0;29;0.0
384;19.01.2001;2.0;28;0.07142857142857142
385;20.01.2001;0.0;28;0.0
386;21.01.2001;0.0;7;0.0
387;22.01.2001;0.0;27;0.0
388;23.01.2001;0.0;28;0.0
389;24.01.2001;0.0;30;0.0
390;25.01.2001;0.0;27;0.0
391;26.01.2001;0.0;30;0.0
392;27.01.2001;0.0;25;0.0
393;28.01.2001;0.0;14;0.0
394;29.01.2001;0.0;25;0.0
395;30.01.2001;0.0;27;0.0
396;31.01.2001;0.0;23;0.0
397;01.02.2001;0.0;22;0.0
398;02.02.2001;0.0;28;0.0
399;03.02.2001;0.0;25;0.0
400;04.02.2001;0.0;8;0.0
401;05.02.2001;0.0;28;0.0
402;06.02.2001;0.0;30;0.0
403;07.02.2001;1.0;34;0.029411764705882353
404;08.02.2001;0.0;29;0.0
405;09.02.2001;0.0;26;0.0
406;10.02.2001;0.0;22;0.0
407;11.02.2001;0.0;11;0.0
408;12.02.2001;0.0;28;0.0
409;13.02.2001;1.0;18;0.05555555555555555
410;14.02.2001;0.0;28;0.0
411;15.02.2001;0.0;25;0.0
412;16.02.2001;5.0;33;0.15151515151515152
413;17.02.2001;2.0;17;0.11764705882352941
414;18.02.2001;1.0;10;0.1
415;19.02.2001;1.0;25;0.04
416;20.02.2001;5.0;22;0.22727272727272727
417;21.02.2001;1.0;20;0.05
418;22.02.2001;2.0;26;0.07692307692307693
419;23.02.2001;2.0;39;0.05128205128205128
420;24.02.2001;1.0;14;0.07142857142857142
421;25.02.2001;0.0;10;0.0
422;26.02.2001;0.0;24;0.0
423;27.02.2001;0.0;25;0.0
424;28.02.2001;1.0;32;0.03125
425;01.03.2001;0.0;21;0.0
426;02.03.2001;1.0;25;0.04
427;03.03.2001;0.0;23;0.0
428;04.03.2001;0.0;8;0.0
429;05.03.2001;0.0;25;0.0
430;06.03.2001;0.0;18;0.0
431;07.03.2001;2.0;25;0.08
432;08.03.2001;1.0;21;0.047619047619047616
433;09.03.2001;1.0;25;0.04
434;10.03.2001;1.0;26;0.038461538461538464
435;11.03.2001;0.0;11;0.0
436;12.03.2001;0.0;25;0.0
437;13.03.2001;1.0;22;0.045454545454545456
438;14.03.2001;1.0;19;0.05263157894736842
439;15.03.2001;3.0;25;0.12
440;16.03.2001;1.0;18;0.05555555555555555
441;17.03.2001;1.0;21;0.047619047619047616
442;18.03.2001;1.0;20;0.05
443;19.03.2001;0.0;29;0.0
444;20.03.2001;2.0;22;0.09090909090909091
445;21.03.2001;1.0;31;0.03225806451612903
446;22.03.2001;0.0;28;0.0
447;23.03.2001;0.0;25;0.0
448;24.03.2001;1.0;24;0.041666666666666664
449;25.03.2001;0.0;32;0.0
450;26.03.2001;0.0;32;0.0
451;27.03.2001;1.0;28;0.03571428571428571
452;28.03.2001;2.0;32;0.0625
453;29.03.2001;2.0;27;0.07407407407407407
454;30.03.2001;2.0;28;0.07142857142857142
455;31.03.2001;0.0;19;0.0
456;01.04.2001;0.0;7;0.0
457;02.04.2001;0.0;24;0.0
458;03.04.2001;0.0;44;0.0
459;04.04.2001;1.0;32;0.03125
460;05.04.2001;0.0;31;0.0
461;06.04.2001;1.0;29;0.034482758620689655
462;07.04.2001;0.0;23;0.0
463;08.04.2001;1.0;16;0.0625
464;09.04.2001;0.0;25;0.0
465;10.04.2001;1.0;28;0.03571428571428571
466;11.04.2001;1.0;22;0.045454545454545456
467;12.04.2001;3.0;35;0.08571428571428572
468;13.04.2001;0.0;16;0.0
469;14.04.2001;0.0;15;0.0
470;15.04.2001;1.0;8;0.125
471;16.04.2001;2.0;9;0.2222222222222222
472;17.04.2001;1.0;24;0.041666666666666664
473;18.04.2001;2.0;26;0.07692307692307693
474;19.04.2001;4.0;23;0.17391304347826086
475;20.04.2001;2.0;21;0.09523809523809523
476;21.04.2001;0.0;25;0.0
477;22.04.2001;0.0;9;0.0
478;23.04.2001;0.0;32;0.0
479;24.04.2001;1.0;27;0.037037037037037035
480;25.04.2001;0.0;34;0.0
481;26.04.2001;1.0;27;0.037037037037037035
482;27.04.2001;2.0;21;0.09523809523809523
483;28.04.2001;0.0;23;0.0
484;29.04.2001;1.0;11;0.09090909090909091
485;30.04.2001;0.0;21;0.0
486;01.05.2001;0.0;15;0.0
487;02.05.2001;1.0;32;0.03125
488;03.05.2001;1.0;21;0.047619047619047616
489;04.05.2001;2.0;38;0.05263157894736842
490;05.05.2001;0.0;26;0.0
491;06.05.2001;0.0;12;0.0
492;07.05.2001;2.0;24;0.08333333333333333
493;08.05.2001;4.0;29;0.13793103448275862
494;09.05.2001;2.0;38;0.05263157894736842
495;10.05.2001;0.0;25;0.0
496;11.05.2001;1.0;22;0.045454545454545456
497;12.05.2001;0.0;21;0.0
498;13.05.2001;0.0;9;0.0
499;14.05.2001;0.0;33;0.0
500;15.05.2001;1.0;42;0.023809523809523808
501;16.05.2001;1.0;32;0.03125
502;17.05.2001;0.0;34;0.0
503;18.05.2001;0.0;29;0.0
504;19.05.2001;0.0;16;0.0
505;20.05.2001;0.0;3;0.0
506;21.05.2001;3.0;20;0.15
507;22.05.2001;0.0;23;0.0
508;23.05.2001;2.0;22;0.09090909090909091
509;24.05.2001;0.0;15;0.0
510;25.05.2001;1.0;22;0.045454545454545456
511;26.05.2001;0.0;20;0.0
512;27.05.2001;1.0;10;0.1
513;28.05.2001;1.0;40;0.025
514;29.05.2001;3.0;30;0.1
515;30.05.2001;2.0;37;0.05405405405405406
516;31.05.2001;0.0;30;0.0
517;01.06.2001;0.0;22;0.0
518;02.06.2001;0.0;11;0.0
519;03.06.2001;0.0;10;0.0
520;04.06.2001;0.0;7;0.0
521;05.06.2001;2.0;26;0.07692307692307693
522;06.06.2001;1.0;34;0.029411764705882353
523;07.06.2001;2.0;25;0.08
524;08.06.2001;0.0;38;0.0
525;09.06.2001;1.0;16;0.0625
526;10.06.2001;1.0;13;0.07692307692307693
527;11.06.2001;0.0;22;0.0
528;12.06.2001;0.0;25;0.0
529;13.06.2001;0.0;27;0.0
530;14.06.2001;1.0;23;0.043478260869565216
531;15.06.2001;0.0;22;0.0
532;16.06.2001;0.0;31;0.0
533;17.06.2001;0.0;15;0.0
534;18.06.2001;0.0;19;0.0
535;19.06.2001;0.0;21;0.0
536;20.06.2001;2.0;27;0.07407407407407407
