date;SPD;Union;Grüne;FDP;AfD;Linke;FW;Andere
01.12.2011;30;35;16;3;-;7;-;3
25.11.2011;30;35;14;3;-;7;-;4
03.11.2011;31;34;15;4;-;6;-;3
28.10.2011;32;33;14;3;-;7;-;4
06.10.2011;30;32;17;3;-;6;-;4
26.09.2011;30;34;18;4;-;6;-;4
16.09.2011;30;33;19;5;-;7;-;6
09.09.2011;30;35;18;3;-;7;-;7
01.09.2011;28;35;20;4;-;7;-;6
19.08.2011;27;34;21;5;-;7;-;6
04.08.2011;28;32;23;4;-;8;-;5
22.07.2011;27;33;23;4;-;8;-;5
07.07.2011;26;32;23;5;-;8;-;6
24.06.2011;26;34;23;4;-;7;-;6
10.06.2011;25;33;24;5;-;8;-;5
22.05.2011;26;33;23;4;-;8;-;6
13.05.2011;26;33;22;5;-;8;-;6
05.05.2011;26;35;23;4;-;7;-;5
15.04.2011;26;33;24;4;-;8;-;5
07.04.2011;27;33;23;5;-;7;-;5
24.03.2011;27;35;21;5;-;7;-;5
18.03.2011;28;35;20;5;-;7;-;5
10.03.2011;28;35;15;6;-;9;-;7
24.02.2011;27;35;17;6;-;8;-;7
18.02.2011;25;37;18;5;-;8;-;7
13.02.2011;26;35;19;5;-;9;-;6
03.02.2011;25;36;19;5;-;8;-;7
21.01.2011;28;34;19;4;-;8;-;7
06.01.2011;26;36;19;4;-;9;-;6
10.12.2010;27;33;20;5;-;10;-;5
02.12.2010;27;32;21;5;-;10;-;5
12.11.2010;26;31;23;5;-;10;-;5
04.11.2010;27;32;22;5;-;9;-;5
15.10.2010;28;31;21;5;-;10;-;5
07.10.2010;27;32;20;5;-;11;-;5
30.09.2010;29;33;18;5;-;10;-;5
17.09.2010;29;32;18;5;-;10;-;6
02.09.2010;30;32;17;5;-;10;-;6
20.08.2010;31;31;16;5;-;10;-;7
05.08.2010;31;31;17;5;-;10;-;6
23.07.2010;30;33;17;5;-;10;-;5
01.07.2010;30;33;17;5;-;10;-;5
15.06.2010;29;32;17;5;-;11;-;6
11.06.2010;29;31;16;6;-;12;-;6
02.06.2010;29;32;16;8;-;10;-;5
27.05.2010;27;33;16;7;-;11;-;6
14.05.2010;28;32;17;7;-;11;-;5
29.04.2010;26;35;16;8;-;10;-;5
16.04.2010;26;36;14;9;-;10;-;5
31.03.2010;28;35;14;8;-;10;-;5
19.03.2010;27;35;14;9;-;10;-;5
04.03.2010;25;36;14;10;-;11;-;4
19.02.2010;27;34;15;10;-;10;-;4
04.02.2010;26;36;15;8;-;11;-;4
22.01.2010;25;36;13;10;-;11;-;5
07.01.2010;25;36;12;11;-;10;-;6
11.12.2009;24;35;14;12;-;11;-;4
03.12.2009;24;35;13;12;-;11;-;5
19.11.2009;22;35;12;13;-;12;-;6
13.11.2009;21;35;13;13;-;12;-;6
05.11.2009;22;35;12;14;-;12;-;5
16.10.2009;22;34;12;14;-;13;-;5
08.10.2009;23;34;11;14;-;13;-;5
17.09.2009;26;35;10;14;-;11;-;4
10.09.2009;23;35;12;14;-;12;-;4
03.09.2009;23;35;13;14;-;11;-;4
27.08.2009;23;35;13;15;-;10;-;4
20.08.2009;23;36;13;15;-;9;-;4
